id;data;local;comprimento;altura;peso
1;2020-03-13T13:46:21;Facilitator;7336;43672;97201
2;2020-03-12T20:32:51;invoice;53023;69532;32071
3;2020-03-13T17:07:48;upward-trending Handmade Soft Table firewall;61590;80038;90966
4;2020-03-12T23:26:39;Berkshire Chief Electronics;59521;75808;30965
5;2020-03-13T11:51:50;Quality Strategist;98587;89246;11293
6;2020-03-13T17:31:55;synergistic Ergonomic;75560;20188;56497
7;2020-03-13T11:00:23;Puerto Rico;30734;46433;14842
8;2020-03-13T00:03:15;Investment Account India invoice;67872;55321;40273
9;2020-03-12T20:24:30;Assistant Generic Wyoming;27490;76999;45531
10;2020-03-13T06:34:57;vertical South Dakota;75960;41474;17201
