id;data;local;quantidade
1;2020-03-13T14:34:47;SMTP Bedfordshire;15387
2;2020-03-13T14:41:27;Convertible Marks;95701
3;2020-03-12T22:42:02;Unbranded Soft Ball Indiana;84968
4;2020-03-13T02:49:42;object-oriented;58940
5;2020-03-13T02:53:37;invoice PNG Infrastructure;85455
6;2020-03-13T16:48:56;Enterprise-wide Green Integration;30415
7;2020-03-13T15:53:31;USB;77116
8;2020-03-13T12:26:16;Dynamic;58746
9;2020-03-13T10:15:23;Data;1047
10;2020-03-12T19:42:48;Incredible Plastic Table Licensed bypassing;68391
